data,hour,NO2
2023-01-01,1,92.34719874385614
2023-01-01,2,91.34719874385614
2023-01-01,3,92.34719874385614
2023-01-01,4,88.34719874385614
2023-01-01,5,81.34719874385614
2023-01-01,6,69.34719874385613
2023-01-01,7,61.347198743856126
2023-01-01,8,79.34719874385614
2023-01-01,9,68.34719874385613
2023-01-01,10,61.347198743856126
2023-01-01,11,55.347198743856126
2023-01-01,12,43.347198743856126
2023-01-01,13,43.347198743856126
2023-01-01,14,45.347198743856126
2023-01-01,15,51.347198743856126
2023-01-01,16,55.347198743856126
2023-01-01,17,70.34719874385613
2023-01-01,18,76.34719874385614
2023-01-01,19,95.34719874385614
2023-01-01,20,96.34719874385614
2023-01-01,21,98.34719874385614
2023-01-01,22,96.34719874385614
2023-01-01,23,93.34719874385614
2023-01-01,24,87.34719874385614
2023-01-02,1,75.89855307214636
2023-01-02,2,76.89855307214636
2023-01-02,3,69.89855307214636
2023-01-02,4,57.898553072146356
2023-01-02,5,64.89855307214636
2023-01-02,6,52.898553072146356
2023-01-02,7,68.89855307214636
2023-01-02,8,87.89855307214636
2023-01-02,9,104.89855307214636
2023-01-02,10,90.89855307214636
2023-01-02,11,59.898553072146356
2023-01-02,12,56.898553072146356
2023-01-02,13,59.898553072146356
2023-01-02,14,84.89855307214636
2023-01-02,15,92.89855307214636
2023-01-02,16,104.89855307214636
2023-01-02,17,105.89855307214636
2023-01-02,18,108.89855307214636
2023-01-02,19,105.89855307214636
2023-01-02,20,83.89855307214636
2023-01-02,21,69.89855307214636
2023-01-02,22,60.898553072146356
2023-01-02,23,71.89855307214636
2023-01-02,24,72.89855307214636
2023-01-03,1,56.05867398729748
2023-01-03,2,49.05867398729748
2023-01-03,3,37.05867398729748
2023-01-03,4,37.05867398729748
2023-01-03,5,36.05867398729748
2023-01-03,6,36.05867398729748
2023-01-03,7,46.05867398729748
2023-01-03,8,66.05867398729748
2023-01-03,9,75.05867398729748
2023-01-03,10,61.05867398729748
2023-01-03,11,76.05867398729748
2023-01-03,12,85.05867398729748
2023-01-03,13,82.05867398729748
2023-01-03,14,
2023-01-03,15,
2023-01-03,16,
2023-01-03,17,48.05867398729748
2023-01-03,18,65.05867398729748
2023-01-03,19,69.05867398729748
2023-01-03,20,55.05867398729748
2023-01-03,21,46.05867398729748
2023-01-03,22,45.05867398729748
2023-01-03,23,45.05867398729748
2023-01-03,24,46.05867398729748
2023-01-04,1,50.9623492216966
2023-01-04,2,62.9623492216966
2023-01-04,3,67.9623492216966
2023-01-04,4,69.9623492216966
2023-01-04,5,69.9623492216966
2023-01-04,6,70.9623492216966
2023-01-04,7,71.9623492216966
2023-01-04,8,79.9623492216966
2023-01-04,9,86.9623492216966
2023-01-04,10,84.9623492216966
2023-01-04,11,61.9623492216966
2023-01-04,12,62.9623492216966
2023-01-04,13,66.9623492216966
2023-01-04,14,92.9623492216966
2023-01-04,15,103.9623492216966
2023-01-04,16,88.9623492216966
2023-01-04,17,76.9623492216966
2023-01-04,18,82.9623492216966
2023-01-04,19,102.9623492216966
2023-01-04,20,102.9623492216966
2023-01-04,21,105.9623492216966
2023-01-04,22,103.9623492216966
2023-01-04,23,100.9623492216966
2023-01-04,24,96.9623492216966
2023-01-05,1,87.85653988978171
2023-01-05,2,82.85653988978171
2023-01-05,3,77.85653988978171
2023-01-05,4,74.85653988978171
2023-01-05,5,70.85653988978171
2023-01-05,6,71.85653988978171
2023-01-05,7,66.85653988978171
2023-01-05,8,74.85653988978171
2023-01-05,9,82.85653988978171
2023-01-05,10,94.85653988978171
2023-01-05,11,106.85653988978171
2023-01-05,12,117.85653988978171
2023-01-05,13,110.85653988978171
2023-01-05,14,97.85653988978171
2023-01-05,15,77.85653988978171
2023-01-05,16,61.85653988978172
2023-01-05,17,59.85653988978172
2023-01-05,18,67.85653988978171
2023-01-05,19,86.85653988978171
2023-01-05,20,83.85653988978171
2023-01-05,21,58.85653988978172
2023-01-05,22,60.85653988978172
2023-01-05,23,81.85653988978171
2023-01-05,24,84.85653988978171
2023-01-06,1,75.2554427320253
2023-01-06,2,60.2554427320253
2023-01-06,3,52.2554427320253
2023-01-06,4,47.2554427320253
2023-01-06,5,53.2554427320253
2023-01-06,6,69.2554427320253
2023-01-06,7,67.2554427320253
2023-01-06,8,80.2554427320253
2023-01-06,9,82.2554427320253
2023-01-06,10,70.2554427320253
2023-01-06,11,58.2554427320253
2023-01-06,12,54.2554427320253
2023-01-06,13,59.2554427320253
2023-01-06,14,63.2554427320253
2023-01-06,15,68.2554427320253
2023-01-06,16,63.2554427320253
2023-01-06,17,97.2554427320253
2023-01-06,18,78.2554427320253
2023-01-06,19,87.2554427320253
2023-01-06,20,97.2554427320253
2023-01-06,21,102.2554427320253
2023-01-06,22,113.2554427320253
2023-01-06,23,112.2554427320253
2023-01-06,24,104.2554427320253
2023-01-07,1,121.82654140379417
2023-01-07,2,116.82654140379417
2023-01-07,3,79.82654140379417
2023-01-07,4,65.82654140379417
2023-01-07,5,67.82654140379417
2023-01-07,6,73.82654140379417
2023-01-07,7,66.82654140379417
2023-01-07,8,70.82654140379417
2023-01-07,9,76.82654140379417
2023-01-07,10,76.82654140379417
2023-01-07,11,71.82654140379417
2023-01-07,12,66.82654140379417
2023-01-07,13,64.82654140379417
2023-01-07,14,63.82654140379417
2023-01-07,15,64.82654140379417
2023-01-07,16,73.82654140379417
2023-01-07,17,75.82654140379417
2023-01-07,18,76.82654140379417
2023-01-07,19,70.82654140379417
2023-01-07,20,76.82654140379417
2023-01-07,21,79.82654140379417
2023-01-07,22,85.82654140379417
2023-01-07,23,105.82654140379417
2023-01-07,24,111.82654140379417
2023-01-08,1,108.25943634505691
2023-01-08,2,98.25943634505691
2023-01-08,3,75.25943634505691
2023-01-08,4,96.25943634505691
2023-01-08,5,93.25943634505691
2023-01-08,6,75.25943634505691
2023-01-08,7,82.25943634505691
2023-01-08,8,83.25943634505691
2023-01-08,9,86.25943634505691
2023-01-08,10,93.25943634505691
2023-01-08,11,83.25943634505691
2023-01-08,12,80.25943634505691
2023-01-08,13,85.25943634505691
2023-01-08,14,98.25943634505691
2023-01-08,15,88.25943634505691
2023-01-08,16,75.25943634505691
2023-01-08,17,79.25943634505691
2023-01-08,18,80.25943634505691
2023-01-08,19,89.25943634505691
2023-01-08,20,85.25943634505691
2023-01-08,21,85.25943634505691
2023-01-08,22,83.25943634505691
2023-01-08,23,70.25943634505691
2023-01-08,24,66.25943634505691
2023-01-09,1,56.65369237852899
2023-01-09,2,58.65369237852899
2023-01-09,3,56.65369237852899
2023-01-09,4,47.65369237852899
2023-01-09,5,44.65369237852899
2023-01-09,6,53.65369237852899
2023-01-09,7,56.65369237852899
2023-01-09,8,50.65369237852899
2023-01-09,9,62.65369237852899
2023-01-09,10,59.65369237852899
2023-01-09,11,60.65369237852899
2023-01-09,12,58.65369237852899
2023-01-09,13,53.65369237852899
2023-01-09,14,54.65369237852899
2023-01-09,15,50.65369237852899
2023-01-09,16,49.65369237852899
2023-01-09,17,51.65369237852899
2023-01-09,18,56.65369237852899
2023-01-09,19,59.65369237852899
2023-01-09,20,55.65369237852899
2023-01-09,21,54.65369237852899
2023-01-09,22,52.65369237852899
2023-01-09,23,49.65369237852899
2023-01-09,24,46.65369237852899
2023-01-10,1,36.20917137239834
2023-01-10,2,36.20917137239834
2023-01-10,3,36.20917137239834
2023-01-10,4,34.20917137239834
2023-01-10,5,35.20917137239834
2023-01-10,6,42.20917137239834
2023-01-10,7,50.209171372398345
2023-01-10,8,72.20917137239834
2023-01-10,9,85.20917137239834
2023-01-10,10,77.20917137239834
2023-01-10,11,61.209171372398345
2023-01-10,12,52.209171372398345
2023-01-10,13,53.209171372398345
2023-01-10,14,56.209171372398345
2023-01-10,15,45.20917137239834
2023-01-10,16,66.20917137239834
2023-01-10,17,75.20917137239834
2023-01-10,18,88.20917137239834
2023-01-10,19,83.20917137239834
2023-01-10,20,93.20917137239834
2023-01-10,21,91.20917137239834
2023-01-10,22,76.20917137239834
2023-01-10,23,73.20917137239834
2023-01-10,24,61.209171372398345
2023-01-11,1,63.301254009645916
2023-01-11,2,50.301254009645916
2023-01-11,3,48.301254009645916
2023-01-11,4,48.301254009645916
2023-01-11,5,44.301254009645916
2023-01-11,6,49.301254009645916
2023-01-11,7,47.30125400964591
2023-01-11,8,74.30125400964592
2023-01-11,9,86.30125400964592
2023-01-11,10,76.30125400964592
2023-01-11,11,68.30125400964592
2023-01-11,12,76.30125400964592
2023-01-11,13,69.30125400964592
2023-01-11,14,63.301254009645916
2023-01-11,15,62.301254009645916
2023-01-11,16,68.30125400964592
2023-01-11,17,79.30125400964592
